section,line_item,unit,month,value,value_text
Timeline,Year,year,2026-01-01,2026.0,2026.0
Timeline,Year,year,2026-02-01,2026.0,2026.0
Timeline,Year,year,2026-03-01,2026.0,2026.0
Timeline,Year,year,2026-04-01,2026.0,2026.0
Timeline,Year,year,2026-05-01,2026.0,2026.0
Timeline,Year,year,2026-06-01,2026.0,2026.0
Timeline,Year,year,2026-07-01,2026.0,2026.0
Timeline,Year,year,2026-08-01,2026.0,2026.0
Timeline,Year,year,2026-09-01,2026.0,2026.0
Timeline,Year,year,2026-10-01,2026.0,2026.0
Timeline,Year,year,2026-11-01,2026.0,2026.0
Timeline,Year,year,2026-12-01,2026.0,2026.0
Timeline,Year,year,2027-01-01,2027.0,2027.0
Timeline,Year,year,2027-02-01,2027.0,2027.0
Timeline,Year,year,2027-03-01,2027.0,2027.0
Timeline,Year,year,2027-04-01,2027.0,2027.0
Timeline,Year,year,2027-05-01,2027.0,2027.0
Timeline,Year,year,2027-06-01,2027.0,2027.0
Timeline,Year,year,2027-07-01,2027.0,2027.0
Timeline,Year,year,2027-08-01,2027.0,2027.0
Timeline,Year,year,2027-09-01,2027.0,2027.0
Timeline,Year,year,2027-10-01,2027.0,2027.0
Timeline,Year,year,2027-11-01,2027.0,2027.0
Timeline,Year,year,2027-12-01,2027.0,2027.0
Timeline,Year,year,Method / Note,,Calendar year
Timeline,Month,month,2026-01-01,,Thg1
Timeline,Month,month,2026-02-01,,Thg2
Timeline,Month,month,2026-03-01,,Thg3
Timeline,Month,month,2026-04-01,,Thg4
Timeline,Month,month,2026-05-01,,Thg5
Timeline,Month,month,2026-06-01,,Thg6
Timeline,Month,month,2026-07-01,,Thg7
Timeline,Month,month,2026-08-01,,Thg8
Timeline,Month,month,2026-09-01,,Thg9
Timeline,Month,month,2026-10-01,,Thg10
Timeline,Month,month,2026-11-01,,Thg11
Timeline,Month,month,2026-12-01,,Thg12
Timeline,Month,month,2027-01-01,,Thg1
Timeline,Month,month,2027-02-01,,Thg2
Timeline,Month,month,2027-03-01,,Thg3
Timeline,Month,month,2027-04-01,,Thg4
Timeline,Month,month,2027-05-01,,Thg5
Timeline,Month,month,2027-06-01,,Thg6
Timeline,Month,month,2027-07-01,,Thg7
Timeline,Month,month,2027-08-01,,Thg8
Timeline,Month,month,2027-09-01,,Thg9
Timeline,Month,month,2027-10-01,,Thg10
Timeline,Month,month,2027-11-01,,Thg11
Timeline,Month,month,2027-12-01,,Thg12
Timeline,Month,month,Method / Note,,Calendar month
Timeline,Status,text,2026-01-01,,Budget
Timeline,Status,text,2026-02-01,,Budget
Timeline,Status,text,2026-03-01,,Budget
Timeline,Status,text,2026-04-01,,Budget
Timeline,Status,text,2026-05-01,,Budget
Timeline,Status,text,2026-06-01,,Budget
Timeline,Status,text,2026-07-01,,Budget
Timeline,Status,text,2026-08-01,,Budget
Timeline,Status,text,2026-09-01,,Budget
Timeline,Status,text,2026-10-01,,Budget
Timeline,Status,text,2026-11-01,,Budget
Timeline,Status,text,2026-12-01,,Budget
Timeline,Status,text,2027-01-01,,Budget
Timeline,Status,text,2027-02-01,,Budget
Timeline,Status,text,2027-03-01,,Budget
Timeline,Status,text,2027-04-01,,Budget
Timeline,Status,text,2027-05-01,,Budget
Timeline,Status,text,2027-06-01,,Budget
Timeline,Status,text,2027-07-01,,Budget
Timeline,Status,text,2027-08-01,,Budget
Timeline,Status,text,2027-09-01,,Budget
Timeline,Status,text,2027-10-01,,Budget
Timeline,Status,text,2027-11-01,,Budget
