section,metric,unit,period,value,method_source,source_sheet
GROUP SUMMARY,Months represented,months,2025A,12.0,,07_Revenue_Drivers
GROUP SUMMARY,Months represented,months,3M2026A,3.0,,07_Revenue_Drivers
GROUP SUMMARY,Months represented,months,5M2026A,5.0,,07_Revenue_Drivers
GROUP SUMMARY,Months represented,months,2026E,12.0,,07_Revenue_Drivers
GROUP SUMMARY,Months represented,months,2027E,12.0,,07_Revenue_Drivers
GROUP SUMMARY,Months represented,months,2028E,12.0,,07_Revenue_Drivers
GROUP SUMMARY,Months represented,months,2029E,12.0,,07_Revenue_Drivers
GROUP SUMMARY,Months represented,months,2030E,12.0,,07_Revenue_Drivers
GROUP SUMMARY,Total Revenue,VND bn,2025A,155928.0,Historical / latest update / guidance,07_Revenue_Drivers
GROUP SUMMARY,Total Revenue,VND bn,3M2026A,46462.0,Historical / latest update / guidance,07_Revenue_Drivers
GROUP SUMMARY,Total Revenue,VND bn,5M2026A,79159.0,Historical / latest update / guidance,07_Revenue_Drivers
GROUP SUMMARY,Total Revenue,VND bn,2026E,185000.0,Historical / latest update / guidance,07_Revenue_Drivers
GROUP SUMMARY,Total Revenue,VND bn,2027E,210702.27006116117,Historical / latest update / guidance,07_Revenue_Drivers
GROUP SUMMARY,Total Revenue,VND bn,2028E,232016.73569640506,Historical / latest update / guidance,07_Revenue_Drivers
GROUP SUMMARY,Total Revenue,VND bn,2029E,250797.0728139098,Historical / latest update / guidance,07_Revenue_Drivers
GROUP SUMMARY,Total Revenue,VND bn,2030E,267230.44217471726,Historical / latest update / guidance,07_Revenue_Drivers
GROUP SUMMARY,YoY Revenue Growth,%,2025A,0.16068809968661846,,07_Revenue_Drivers
GROUP SUMMARY,YoY Revenue Growth,%,5M2026A,0.2928350944813731,,07_Revenue_Drivers
GROUP SUMMARY,YoY Revenue Growth,%,2026E,0.18644502590939416,,07_Revenue_Drivers
GROUP SUMMARY,YoY Revenue Growth,%,2027E,0.13893118951979,,07_Revenue_Drivers
GROUP SUMMARY,YoY Revenue Growth,%,2028E,0.1011591646784673,,07_Revenue_Drivers
GROUP SUMMARY,YoY Revenue Growth,%,2029E,0.08094388993593493,,07_Revenue_Drivers
GROUP SUMMARY,YoY Revenue Growth,%,2030E,0.06552456604228762,,07_Revenue_Drivers
GROUP SUMMARY,2026 target completion,%,5M2026A,0.4278864864864865,,07_Revenue_Drivers
GROUP SUMMARY,2026 target completion,%,2026E,1.0,,07_Revenue_Drivers
GROUP SUMMARY,Online / Super App Revenue,VND bn,2025A,9200.0,,07_Revenue_Drivers
GROUP SUMMARY,Online / Super App Revenue,VND bn,3M2026A,3000.0,,07_Revenue_Drivers
GROUP SUMMARY,Online / Super App Revenue,VND bn,5M2026A,6000.0,,07_Revenue_Drivers
GROUP SUMMARY,Online / Super App Revenue,VND bn,2026E,12950.000000000002,,07_Revenue_Drivers
GROUP SUMMARY,Online / Super App Revenue,VND bn,2027E,15802.670254587087,,07_Revenue_Drivers
GROUP SUMMARY,Online / Super App Revenue,VND bn,2028E,18561.338855712405,,07_Revenue_Drivers
GROUP SUMMARY,Online / Super App Revenue,VND bn,2029E,21317.751189182334,,07_Revenue_Drivers
GROUP SUMMARY,Online / Super App Revenue,VND bn,2030E,24050.739795724552,,07_Revenue_Drivers
GROUP SUMMARY,Online / Super App Mix,%,2025A,0.05900159047765635,,07_Revenue_Drivers
GROUP SUMMARY,Online / Super App Mix,%,3M2026A,0.0645688950109767,,07_Revenue_Drivers
GROUP SUMMARY,Online / Super App Mix,%,5M2026A,0.07579681400725123,,07_Revenue_Drivers
GROUP SUMMARY,Online / Super App Mix,%,2026E,0.07,,07_Revenue_Drivers
GROUP SUMMARY,Online / Super App Mix,%,2027E,0.075,,07_Revenue_Drivers
GROUP SUMMARY,Online / Super App Mix,%,2028E,0.08,,07_Revenue_Drivers
GROUP SUMMARY,Online / Super App Mix,%,2029E,0.085,,07_Revenue_Drivers
GROUP SUMMARY,Online / Super App Mix,%,2030E,0.09,,07_Revenue_Drivers
REVENUE BY CHAIN,TGDD / TopZone Revenue,VND bn,2025A,37300.0,2026E: core guidance split by 5M chain mix; 2027E+: Avg stores x RPSM x 12,07_Revenue_Drivers
REVENUE BY CHAIN,TGDD / TopZone Revenue,VND bn,3M2026A,10872.0,2026E: core guidance split by 5M chain mix; 2027E+: Avg stores x RPSM x 12,07_Revenue_Drivers
REVENUE BY CHAIN,TGDD / TopZone Revenue,VND bn,5M2026A,17810.775,2026E: core guidance split by 5M chain mix; 2027E+: Avg stores x RPSM x 12,07_Revenue_Drivers
