method,section,line_item,unit,scenario,value_num,value_text,method_formula,source,note,link_location
DCF,Market Data,Valuation Date,date,Bull,,2026-06-26,Linked,16_Trading_Comps,,
DCF,Market Data,Valuation Date,date,Base,,2026-06-26,Linked,16_Trading_Comps,,
DCF,Market Data,Valuation Date,date,Bear,,2026-06-26,Linked,16_Trading_Comps,,
DCF,Market Data,Current Price,VND/share,Bull,78500.0,78500.0,Linked,16_Trading_Comps,,
DCF,Market Data,Current Price,VND/share,Base,78500.0,78500.0,Linked,16_Trading_Comps,,
DCF,Market Data,Current Price,VND/share,Bear,78500.0,78500.0,Linked,16_Trading_Comps,,
DCF,Market Data,Diluted Shares Outstanding,shares,Bull,1468423529.0,1468423529.0,Linked,16_Trading_Comps,,
DCF,Market Data,Diluted Shares Outstanding,shares,Base,1468423529.0,1468423529.0,Linked,16_Trading_Comps,,
DCF,Market Data,Diluted Shares Outstanding,shares,Bear,1468423529.0,1468423529.0,Linked,16_Trading_Comps,,
DCF,Equity Bridge,Net Debt / (Net Cash),VND bn,Bull,-18284.153128744998,-18284.153128745,Debt - cash & STI,16_Trading_Comps,,
DCF,Equity Bridge,Net Debt / (Net Cash),VND bn,Base,-18284.153128744998,-18284.153128745,Debt - cash & STI,16_Trading_Comps,,
DCF,Equity Bridge,Net Debt / (Net Cash),VND bn,Bear,-18284.153128744998,-18284.153128745,Debt - cash & STI,16_Trading_Comps,,
DCF,Equity Bridge,Minority Interest,VND bn,Bull,632.1648863183425,632.164886318342,2026E proxy,13_Balance_Sheet,,
DCF,Equity Bridge,Minority Interest,VND bn,Base,632.1648863183425,632.164886318342,2026E proxy,13_Balance_Sheet,,
DCF,Equity Bridge,Minority Interest,VND bn,Bear,632.1648863183425,632.164886318342,2026E proxy,13_Balance_Sheet,,
DCF,Discount Rate,WACC,%,Bull,0.097,0.097,Linked,19_WACC,,
DCF,Discount Rate,WACC,%,Base,0.112,0.112,Linked,19_WACC,,
DCF,Discount Rate,WACC,%,Bear,0.133,0.133,Linked,19_WACC,,
DCF,Terminal Value,Terminal Growth,%,Bull,0.035,0.035,Analyst input,Analyst assumption,,
DCF,Terminal Value,Terminal Growth,%,Base,0.03,0.03,Analyst input,Analyst assumption,,
DCF,Terminal Value,Terminal Growth,%,Bear,0.025,0.025,Analyst input,Analyst assumption,,
DCF,DCF Output,Enterprise Value,VND bn,Bull,191456.5540621359,191456.554062136,PV FCFF + PV terminal value,DCF mechanics below,,
DCF,DCF Output,Enterprise Value,VND bn,Base,145226.08127844165,145226.081278442,PV FCFF + PV terminal value,DCF mechanics below,,
DCF,DCF Output,Enterprise Value,VND bn,Bear,110200.8435955915,110200.843595592,PV FCFF + PV terminal value,DCF mechanics below,,
DCF,DCF Output,Equity Value,VND bn,Bull,209108.54230456255,209108.542304563,EV - net debt - minority interest,DCF mechanics below,,
DCF,DCF Output,Equity Value,VND bn,Base,162878.0695208683,162878.069520868,EV - net debt - minority interest,DCF mechanics below,,
DCF,DCF Output,Equity Value,VND bn,Bear,127852.83183801816,127852.831838018,EV - net debt - minority interest,DCF mechanics below,,
DCF,DCF Output,Target Price,VND/share,Bull,142403.42665100578,142403.426651006,Equity value / shares,DCF mechanics below,,
DCF,DCF Output,Target Price,VND/share,Base,110920.3620782273,110920.362078227,Equity value / shares,DCF mechanics below,,
DCF,DCF Output,Target Price,VND/share,Bear,87068.089902568,87068.089902568,Equity value / shares,DCF mechanics below,,
DCF,DCF Output,Upside / Downside,%,Bull,0.8140563904586724,0.814056390458672,Target price / current price - 1,DCF mechanics below,,
DCF,DCF Output,Upside / Downside,%,Base,0.41299824303474275,0.412998243034743,Target price / current price - 1,DCF mechanics below,,
DCF,DCF Output,Upside / Downside,%,Bear,0.10914764207092986,0.10914764207093,Target price / current price - 1,DCF mechanics below,,
DCF,Section,Line Item,Unit,Bull,,2026E,2029E,2030E,,
DCF,Section,Line Item,Unit,Base,,2027E,2029E,2030E,,
DCF,Section,Line Item,Unit,Bear,,2028E,2029E,2030E,,
DCF,Operating Forecast,Revenue,VND bn,Bull,185000.0,185000.0,250797.07281391,267230.442174717,,
DCF,Operating Forecast,Revenue,VND bn,Base,210702.27006116117,210702.270061161,250797.07281391,267230.442174717,,
DCF,Operating Forecast,Revenue,VND bn,Bear,232016.73569640506,232016.735696405,250797.07281391,267230.442174717,,
DCF,Operating Forecast,EBIT,VND bn,Bull,10175.0,10175.0,17555.7950969737,19240.5918365796,,
DCF,Operating Forecast,EBIT,VND bn,Base,12852.83847373083,12852.8384737308,17555.7950969737,19240.5918365796,,
DCF,Operating Forecast,EBIT,VND bn,Bear,15313.104555962731,15313.1045559627,17555.7950969737,19240.5918365796,,
DCF,Tax,Effective Tax Rate,%,Bull,0.2,0.2,0.2,0.2,,
DCF,Tax,Effective Tax Rate,%,Base,0.2,0.2,0.2,0.2,,
DCF,Tax,Effective Tax Rate,%,Bear,0.2,0.2,0.2,0.2,,
DCF,Tax,NOPAT,VND bn,Bull,8140.0,8140.0,14044.6360775789,15392.4734692637,,
DCF,Tax,NOPAT,VND bn,Base,10282.270778984665,10282.2707789847,14044.6360775789,15392.4734692637,,
DCF,Tax,NOPAT,VND bn,Bear,12250.483644770185,12250.4836447702,14044.6360775789,15392.4734692637,,
